[GENERAL]
DATE=July 16, 2018 at 17:47:41
CYME_VERSION=7.00
CYMDIST_REVISION=06

[SI]

[CONCENTRIC NEUTRAL CABLE]
FORMAT_CONCENTRICNEUTRALCABLE=ID,R1,R0,X1,X0,B1,B0,Amps,Amps_1,Amps_2,Amps_3,Amps_4,WithstandRating,NumberOfPhases,FailRate,TmpFailRate,MajorRepairTime,MinorRepairTime,MajorFailureProportion,PhaseCondID,NeutralCondID,NeutralWires,InsulationType,InsulationDielectricConst,InsulationDiameter,Dab,Dbc,Dac,RatedLevel,ContinuousTemperatureRating,SCCurrentTemperatureRating,PositiveSequenceShuntConductance,ZeroSequenceShuntConductance,LockImpedance,Favorite,Comments
1P10AL_803,1.026600,0.318300,1.026600,0.318300,2.440200,2.440200,206.000000,206.000000,206.000000,206.000000,206.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
1P10AL_813,1.026600,0.318300,1.026600,0.318300,2.440100,2.440100,206.000000,206.000000,206.000000,206.000000,206.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
1P10AL_815,1.026600,0.318300,1.026600,0.318300,2.440100,2.440100,135.000000,135.000000,135.000000,135.000000,135.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
1P10AL_823,1.026600,0.318300,1.026600,0.318300,2.440100,2.440100,206.000000,206.000000,206.000000,206.000000,206.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
1P10AL_833,1.020300,0.342800,1.020300,0.342800,1.552800,1.552800,188.000000,188.000000,188.000000,188.000000,188.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
1P10AL_834,1.020300,0.342800,1.020300,0.342800,1.552800,1.552800,137.000000,137.000000,137.000000,137.000000,137.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
1P20CU_1139,0.669600,0.253400,0.669600,0.253400,2.617600,2.617600,366.000000,366.000000,366.000000,366.000000,366.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
1P2AL_843,1.469300,0.498900,1.469300,0.498900,2.085300,2.085300,158.000000,158.000000,158.000000,158.000000,158.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
1P2AL_853,1.469300,0.498900,1.469300,0.498900,2.085100,2.085100,158.000000,158.000000,158.000000,158.000000,158.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
1P2AL_855,1.469300,0.498900,1.469300,0.498900,2.085100,2.085100,105.000000,105.000000,105.000000,105.000000,105.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
